Date,Week,Tm,,Opp,Result,Qtr,Time,LOS,Play Summary,Punt distance (gross),Pts,Downed method,Pts,Punt ended at,Pts,Bonus,Pts,TUPA score,,TUPA Scoring Key,Points
2021-10-17,6,KAN,@,WAS,W 31-13,1,13:59,Own 5,Tress Way of WFT punts 66 yards (66) out of bounds (20) at the 5-yard line (10).,66,66,Out of bounds inside the 10 (Coffin corner),20,5,10,None,0,96,,,
2021-10-25,7,SEA,,NOR,L 13-10,1,5:55,Own 1,Blake Gillikin of the Saints punts 41 yards (41) downed by Kevin White (5) at the 1-yard line (50). ,41,41,Caught on the bounce,5,1,50,None,0,96,,,
2021-09-19,2,PHI,,SFO,L 17-11,2,7:12,Own 3,Mitch Wishnowsky of the 49ers punts 35 yards (35) downed by Trenton Cannon (5) at the 3-yard line (30) with an assist by Trent Sherfield (25). ,35,35,Touched on the ground,5,3,30,Batted back out of the end zone,25,95,,Between the 5- and 9-yard line,10
2021-10-24,7,KAN,@,TEN,L 27-3,4,13:30,Own 3,Brett Kern of the Titans punts 45 yards (45) out of bounds (20) at the 3-yard line (30).,45,45, Out of bounds / Coffin corner,20,3,30,None,0,95,,,
2021-12-05,13,HOU,,IND,L 31-0,2,14:03,Own 1,Rigoberto Sanchez of the Colts punts 40 yards (40) downed by Ashton Dulin (5) at the 1-yard line (50).,40,40,Caught on the bounce,5,1,50,None,0,95,,,
2022-01-09,18,NYG,,WAS,L 22-7,2,5:42,Own 3,95 TUPA = Tress Way of WFT punts of 35 yards (35) downed by Cam Sims (5) at the 3-yard line (30) with an assist by Troy Apke (25).,35,35,Touched on the ground,5,3,30,Batted back out of the end zone,25,95,,,
2021-10-10,5,CAR,,PHI,L 21-18,1,10:11,Own 5,Arryn Siposs of the Eagles punts 64 yards (64) out of bounds (20) at the 5-yard line (10).,64,64,Out of bounds inside the 10 (Coffin corner),20,5,10,None,0,94,,Blocked but still got the punt off (Double punt),50
2021-10-24,7,ARI,,HOU,W 31-5,4,9:02,Own 4,Cameron Johnston of the Texans punts 69 yards (69) downed by Kamu Grugier-Hill (5) at the 4-yard line (20).,69,69,Touched on the ground,5,4,20,None,0,94,,,
2021-12-19,15,HOU,@,JAX,W 30-16,3,1:56,Own 4,94 TUPA = Logan Cooke of the Jaguars punts 54 yards (54) out of bounds (20) at the 4-yard line (20).,54,54, Out of bounds / Coffin corner,20,4,20,None,0,94,,,
2021-12-26,16,OAK,,DEN,W 17-13,1,11:38,Own 4,94 TUPA = Sam Martin of the Broncos punts 54 yards (54) out of bounds (20) at the 4-yard line (20).,54,54, Out of bounds / Coffin corner,20,4,20,None,0,94,,,
